timestamp,track_id,status,pos_x,pos_y,vel_x,vel_y,confidence,hits,misses,age,pos_uncertainty,vel_uncertainty
1758679024.866432,1,new,0.7862934775785522,0.1259232966538999,0.0,0.0,0.6,1,0,0.0005331039428710938,0.7071067811865476,2.8284271247461903
1758679025.2613492,1,confirmed,0.7595877855992924,0.22256433256695807,-0.05063209654868899,0.18322454496649598,0.7,2,0,0.3960239887237549,0.40448229384208034,1.8381501133899163
1758679025.316651,1,confirmed,0.7567877342222921,0.2326969988874283,-0.05063209654868899,0.18322454496649598,0.49999999999999994,2,1,0.450488805770874,0.4563613407628518,1.8447932796505369
1758679025.377986,1,confirmed,0.753682222256105,0.24393504857682752,-0.05063209654868899,0.18322454496649598,0.29999999999999993,2,2,0.511868953704834,0.5311793926911422,1.8529322582527537
1758679025.544419,1,confirmed,0.7452553656739784,0.2744296768463346,-0.05063209654868899,0.18322454496649598,0.09999999999999992,2,3,0.6783812046051025,0.7837422941819161,1.9117943814766665
1758679025.61164,1,confirmed,0.7418518292442347,0.28674620047709165,-0.05063209654868899,0.18322454496649598,0.0,2,4,0.745485782623291,0.8973360361111024,1.9212253851358594
1758679025.6957178,1,confirmed,0.737594792180707,0.30215132355194385,-0.05063209654868899,0.18322454496649598,0.0,2,5,0.8296058177947998,1.044538991808017,1.9358873002601147
1758679026.021871,1,confirmed,0.676469952976903,0.4302060862571935,-0.10334038819686389,0.2639162286170589,0.1,3,0,1.156613826751709,0.41090319463356884,1.0160324101793001
1758679026.083912,1,confirmed,0.6700586320197641,0.44657966174868713,-0.10334038819686389,0.2639162286170589,0.0,3,1,1.2177369594573975,0.4445191529373359,1.0310743674564857
1758679026.2501178,1,confirmed,0.6356761617880381,0.5562914056376351,-0.1283311301022291,0.3595518943977378,0.1,4,0,1.3846747875213623,0.33872031104696376,0.9266514592064194
1758679026.3099709,1,confirmed,0.6279951487848977,0.5778116928350812,-0.1283311301022291,0.3595518943977378,0.0,4,1,1.4437940120697021,0.3711878237376299,0.9419883509884318
1758679026.6495402,1,confirmed,0.5768440330388175,0.6583893722125626,-0.1406729663425878,0.29190120644872763,0.1,5,0,1.7845561504364014,0.3543693454353538,1.0199769886655474
1758679026.725651,1,confirmed,0.5661372954271715,0.680606218186779,-0.1406729663425878,0.29190120644872763,0.0,5,1,1.8594748973846436,0.4035110045687688,1.0424470907154022
1758679026.891499,1,confirmed,0.4476025863660574,0.676086307626766,-0.30016064803227394,0.20323022109572764,0.1,6,0,2.025481939315796,0.33303078426916366,0.8983861161457029
1758679027.2129102,1,confirmed,0.3511276124562701,0.7414067632108787,-0.30016064803227394,0.20323022109572764,0.0,6,1,2.3467519283294678,0.5788482009266216,1.278099582994172
1758679027.272537,1,confirmed,0.33322998821436123,0.7535247345559443,-0.30016064803227394,0.20323022109572764,0.0,6,2,2.4065921306610107,0.6401792193388138,1.289178576910587
1758679027.334896,1,confirmed,0.31451224196259087,0.7661979871428457,-0.30016064803227394,0.20323022109572764,0.0,6,3,2.4687399864196777,0.7075775037799225,1.3011881711034599
1758679027.397312,1,confirmed,0.29577746350852147,0.7788827717485566,-0.30016064803227394,0.20323022109572764,0.0,6,4,2.53117299079895,0.7776701287225588,1.3131094971580841
1758679027.558524,1,confirmed,0.21536094859924887,0.8031464641466338,-0.3405666554491123,0.19250712451421687,0.1,7,0,2.692924976348877,0.38858228508467496,0.8251941244001667
1758679027.857546,1,confirmed,0.08017907463668095,0.83670145400741,-0.3894489708503411,0.15731098227552476,0.2,8,0,2.992094039916992,0.3433762077612337,0.9566110797912812
1758679028.0214999,1,confirmed,0.016327443309386652,0.862493184364431,-0.3894489708503411,0.15731098227552476,0.0,8,1,3.155272960662842,0.44791645354364684,1.0630858369617204
1758679028.3335319,1,confirmed,-0.07204142432076262,0.8460867857848393,-0.339630405935893,0.05889239764559648,0.1,9,0,3.4682698249816895,0.367603655743821,0.9949733831637045
1758679028.390395,1,confirmed,-0.09135385170945844,0.8494355882872027,-0.339630405935893,0.05889239764559648,0.0,9,1,3.524172067642212,0.40180678607458103,1.0078885368031183
1758679028.555725,1,confirmed,-0.16427623619685916,0.8277830351130898,-0.3666692914849037,0.008286085608757321,0.1,10,0,3.6902730464935303,0.33024002307989786,0.8937187214321124
1758679028.841773,1,confirmed,-0.2691612300321715,0.8301532527947337,-0.3666692914849037,0.008286085608757321,0.0,10,1,3.9756040573120117,0.5370224034887816,1.2055374420580802
1758679028.9894888,1,confirmed,-0.323324080311704,0.8313772386169798,-0.3666692914849037,0.008286085608757321,0.0,10,2,4.123502969741821,0.6842215177680825,1.27588408611958
1758679029.268716,1,confirmed,-0.3854771307754465,0.6975119346451263,-0.3163156656016595,-0.16215722857128423,0.1,11,0,4.4030821323394775,0.3909319646087559,0.9513580446257048
1758679029.426007,1,confirmed,-0.4352307177364108,0.6720060724624092,-0.3163156656016595,-0.16215722857128423,0.0,11,1,4.559770822525024,0.4864336447807647,1.0502407515607703
1758679029.70542,1,confirmed,-0.5362696804859118,0.642519522290967,-0.33409564378773976,-0.13992949956087658,0.1,12,0,4.839858055114746,0.3665659167954652,0.972955924283568
1758679029.861568,1,confirmed,-0.5924228059228145,0.6057627538513122,-0.34053841781601585,-0.16403195954012392,0.2,13,0,4.995742082595825,0.3138622728454083,0.9112596813870053
1758679030.144191,1,confirmed,-0.6832287555627006,0.5054416019668708,-0.33069845503488804,-0.26167408010245147,0.30000000000000004,14,0,5.278470039367676,0.32805247972421203,0.9723708612301935
