timestamp,total_tracks,confirmed_tracks,new_tracks,lost_tracks,avg_confidence,num_detections
1758679024.566931,0,0,0,0,0.0,0
1758679024.6261609,0,0,0,0,0.0,0
1758679024.6859689,0,0,0,0,0.0,0
1758679024.746461,0,0,0,0,0.0,0
1758679024.802363,0,0,0,0,0.0,0
1758679024.866432,1,0,1,0,0.6,1
1758679025.2613492,1,1,0,0,0.7,1
1758679025.316651,1,1,0,0,0.49999999999999994,0
1758679025.377986,1,1,0,0,0.29999999999999993,0
1758679025.544419,1,1,0,0,0.09999999999999992,0
1758679025.61164,1,1,0,0,0.0,0
1758679025.6957178,1,1,0,0,0.0,0
1758679026.021871,1,1,0,0,0.1,1
1758679026.083912,1,1,0,0,0.0,0
1758679026.2501178,1,1,0,0,0.1,1
1758679026.3099709,1,1,0,0,0.0,0
1758679026.6495402,1,1,0,0,0.1,1
1758679026.725651,1,1,0,0,0.0,0
1758679026.891499,1,1,0,0,0.1,1
1758679027.2129102,1,1,0,0,0.0,0
1758679027.272537,1,1,0,0,0.0,0
1758679027.334896,1,1,0,0,0.0,0
1758679027.397312,1,1,0,0,0.0,0
1758679027.558524,1,1,0,0,0.1,1
1758679027.857546,1,1,0,0,0.2,1
1758679028.0214999,1,1,0,0,0.0,0
1758679028.3335319,1,1,0,0,0.1,1
1758679028.390395,1,1,0,0,0.0,0
1758679028.555725,1,1,0,0,0.1,1
1758679028.841773,1,1,0,0,0.0,0
1758679028.9894888,1,1,0,0,0.0,0
1758679029.268716,1,1,0,0,0.1,1
1758679029.426007,1,1,0,0,0.0,0
1758679029.70542,1,1,0,0,0.1,1
1758679029.861568,1,1,0,0,0.2,1
1758679030.144191,1,1,0,0,0.30000000000000004,1
1758679030.302581,1,1,0,0,0.10000000000000003,0
1758679030.5789828,1,1,0,0,0.20000000000000004,1
1758679030.744899,1,1,0,0,2.7755575615628914e-17,0
1758679031.0252008,1,1,0,0,0.10000000000000003,1
1758679031.191623,1,1,0,0,0.20000000000000004,1
1758679031.477261,1,1,0,0,0.30000000000000004,1
1758679031.643175,1,1,0,0,0.10000000000000003,0
1758679031.920012,1,1,0,0,0.20000000000000004,1
1758679032.082369,1,1,0,0,2.7755575615628914e-17,0
1758679032.367975,1,1,0,0,0.0,0
1758679032.42401,1,1,0,0,0.0,0
1758679032.4875672,1,1,0,0,0.1,1
1758679032.5530958,1,1,0,0,0.0,0
1758679032.616431,1,1,0,0,0.0,0
1758679032.6857421,1,1,0,0,0.0,0
1758679032.747908,1,1,0,0,0.0,0
1758679032.81469,1,1,0,0,0.1,1
1758679032.88008,1,1,0,0,0.0,0
1758679032.97403,1,1,0,0,0.0,0
1758679033.032871,1,1,0,0,0.0,0
1758679033.092352,1,1,0,0,0.1,1
1758679033.1602361,1,1,0,0,0.0,0
1758679033.224273,1,1,0,0,0.0,0
1758679033.2848582,1,1,0,0,0.0,0
1758679033.34673,1,1,0,0,0.0,0
1758679033.417918,1,1,0,0,0.0,0
1758679033.47663,1,1,0,0,0.1,1
1758679033.541095,1,1,0,0,0.0,0
1758679033.602529,1,1,0,0,0.0,0
1758679033.663713,1,1,0,0,0.0,0
1758679033.725547,1,1,0,0,0.0,0
1758679033.790856,1,1,0,0,0.1,1
1758679033.852233,1,1,0,0,0.0,0
1758679033.913244,1,1,0,0,0.0,0
1758679034.071955,1,1,0,0,0.1,1
1758679034.357274,1,1,0,0,0.0,0
1758679034.944303,1,1,0,0,0.1,1
1758679035.106117,1,1,0,0,0.2,1
1758679035.4023008,1,1,0,0,0.30000000000000004,1
1758679035.563895,1,1,0,0,0.10000000000000003,0
1758679035.840394,1,1,0,0,0.20000000000000004,1
1758679035.9964612,1,1,0,0,2.7755575615628914e-17,0
1758679036.2749262,1,1,0,0,0.10000000000000003,1
1758679036.44138,1,1,0,0,0.20000000000000004,1
1758679036.731495,1,1,0,0,0.30000000000000004,1
1758679036.787348,1,1,0,0,0.10000000000000003,0
1758679036.8526561,1,1,0,0,0.0,0
1758679036.9461708,1,1,0,0,0.0,0
1758679037.114996,1,1,0,0,0.1,1
1758679037.406967,1,1,0,0,0.2,1
1758679038.0052228,1,1,0,0,0.30000000000000004,1
1758679038.175242,1,1,0,0,0.10000000000000003,0
1758679038.468426,1,1,0,0,0.20000000000000004,1
1758679038.633431,1,1,0,0,2.7755575615628914e-17,0
1758679038.918056,1,1,0,0,0.10000000000000003,1
1758679039.0977201,1,1,0,0,0.20000000000000004,1
1758679039.39469,1,1,0,0,2.7755575615628914e-17,0
1758679039.5643132,1,1,0,0,0.0,0
1758679039.85976,1,1,0,0,0.1,1
1758679040.026552,1,1,0,0,0.2,1
1758679040.318837,1,1,0,0,0.0,0
1758679040.3820622,1,1,0,0,0.1,1
1758679040.450262,1,1,0,0,0.0,0
1758679040.518552,1,1,0,0,0.0,0
1758679040.583254,1,1,0,0,0.0,0
1758679040.651839,1,1,0,0,0.0,0
1758679040.718654,1,1,0,0,0.0,0
1758679040.8929532,1,0,0,1,0.0,0
1758679040.952241,1,0,0,1,0.0,0
1758679041.0167072,2,0,1,1,0.45,1
1758679041.085378,2,0,1,1,0.35,0
1758679041.1518211,2,0,1,1,0.24999999999999997,0
1758679041.220136,2,0,1,1,0.14999999999999997,0
1758679041.2894561,2,0,1,1,0.04999999999999996,0
1758679041.36863,2,0,0,2,0.0,0
1758679041.4745028,2,0,0,2,0.0,0
1758679041.7814689,2,0,0,2,0.0,0
1758679042.400148,3,0,1,2,0.3,1
1758679042.467644,3,0,1,2,0.2333333333333333,0
1758679042.5377312,3,0,1,2,0.16666666666666666,0
1758679042.608819,3,1,0,2,0.19999999999999998,1
1758679042.679722,3,1,0,2,0.13333333333333333,0
1758679042.746868,3,1,0,2,0.06666666666666665,0
1758679042.8170738,3,1,0,2,0.0,0
1758679042.883363,3,1,0,2,0.0,0
1758679042.9565492,3,1,0,2,0.0,0
1758679043.0309849,3,0,0,3,0.0,0
1758679043.103101,3,0,0,3,0.0,0
1758679043.1855302,3,0,0,3,0.0,0
1758679043.253535,4,0,1,3,0.125,1
1758679043.439797,4,0,1,3,0.075,0
1758679043.501972,4,0,1,3,0.024999999999999994,0
1758679043.569441,4,1,0,3,0.049999999999999996,1
