timestamp,object_id,pos_x,pos_y,vel_x,vel_y,active
1758679032.42401,0,-0.726032042116652,-0.3359724301485527,0.16798621507427636,-0.363016021058326,True
1758679032.4875672,0,-0.7174067330673207,-0.35401635463587566,0.17700817731793783,-0.35870336653366036,True
1758679032.5530958,0,-0.7083330681624197,-0.37183903042528094,0.18591951521264047,-0.35416653408120985,True
1758679032.616431,0,-0.6988167181471537,-0.38942931892455335,0.19471465946227667,-0.34940835907357687,True
1758679032.6857421,0,-0.6888636304305121,-0.4067762267759695,0.20338811338798474,-0.34443181521525607,True
1758679032.747908,0,-0.6784800253683305,-0.42386891272678845,0.21193445636339422,-0.33924001268416526,True
1758679032.81469,0,-0.6676723923757718,-0.44069669440468173,0.22034834720234087,-0.3338361961878859,True
1758679032.88008,0,-0.6564474858716528,-0.457249054993869,0.2286245274969345,-0.3282237429358264,True
1758679032.97403,0,-0.6327741695315381,-0.4894863127541693,0.24474315637708466,-0.31638708476576904,True
1758679033.032871,0,-0.620340554747655,-0.5051510626885504,0.2525755313442752,-0.3101702773738275,True
1758679033.092352,0,-0.6075192473100115,-0.520500109652128,0.260250054826064,-0.30375962365500575,True
1758679033.1602361,0,-0.5943182601184043,-0.535523860990183,0.2677619304950915,-0.29715913005920214,True
1758679033.224273,0,-0.5807458433601175,-0.5502129273471733,0.27510646367358665,-0.29037292168005874,True
1758679033.2848582,0,-0.566810479353824,-0.5645581285347756,0.2822790642673878,-0.283405239676912,True
1758679033.34673,0,-0.5525208772484119,-0.578550499269204,0.289275249634602,-0.27626043862420596,True
1758679033.417918,0,-0.5229148966908957,-0.6054419962463373,0.30272099812316866,-0.2614574483454479,True
1758679033.47663,0,-0.5076170210129238,-0.6183243161787874,0.3091621580893937,-0.2538085105064619,True
1758679033.541095,0,-0.4920019012204658,-0.6308202035409511,0.31541010177047557,-0.2460009506102329,True
1758679033.602529,0,-0.47607929625509815,-0.642921848809986,0.321460924404993,-0.23803964812754907,True
1758679033.663713,0,-0.45985915722662124,-0.6546216888515242,0.3273108444257621,-0.22992957861331062,True
1758679033.725547,0,-0.44335162119393934,-0.6659124116463859,0.33295620582319296,-0.22167581059696967,True
1758679033.790856,0,-0.42656700482972953,-0.6767869608603534,0.3383934804301767,-0.21328350241486477,True
1758679033.852233,0,-0.39220865707256514,-0.6972606179308674,0.3486303089654337,-0.19610432853628257,True
1758679033.913244,0,-0.37465639852854626,-0.7068469304181911,0.35342346520909557,-0.18732819926427313,True
1758679034.071955,0,-0.3206393376639849,-0.732932749399562,0.366466374699781,-0.16031966883199245,True
1758679034.357274,0,-0.22675940773146933,-0.7671897881262976,0.3835948940631488,-0.11337970386573466,True
1758679034.944303,0,-0.009910930770313159,-0.7999386060512808,0.3999693030256404,-0.004955465385156579,True
1758679035.106117,0,0.05005609624634838,-0.7984324562720233,0.39921622813601165,0.02502804812317419,True
1758679035.4023008,0,0.16881027541437366,-0.781986630905237,0.3909933154526185,0.08440513770718683,True
1758679035.563895,0,0.20768234872087254,-0.7725723539124228,0.3862861769562114,0.10384117436043627,True
1758679035.840394,0,0.30238219417038814,-0.7406517458621844,0.3703258729310922,0.15119109708519407,True
1758679035.9964612,0,0.3570289613314452,-0.7159122297953776,0.3579561148976888,0.1785144806657226,True
1758679036.2749262,0,0.443499468943334,-0.6658139537791175,0.3329069768895587,0.221749734471667,True
1758679036.44138,0,0.49214195592377197,-0.6307109442680728,0.3153554721340364,0.24607097796188598,True
1758679036.731495,0,0.5669358194330141,-0.5644322604563076,0.2822161302281538,0.28346790971650704,True
1758679036.787348,0,0.5808679978983825,-0.5500839654248474,0.2750419827124237,0.29043399894919125,True
1758679036.8526561,0,0.607634803777167,-0.5203652037162783,0.26018260185813913,0.3038174018885835,True
1758679036.9461708,0,0.6204527028082061,-0.5050133102978496,0.2525066551489248,0.31022635140410304,True
1758679037.114996,0,0.6565489969172966,-0.4571032866288447,0.22855164331442235,0.3282744984586483,True
1758679037.406967,0,0.7084156135530608,-0.3716817435309952,0.1858408717654976,0.3542078067765304,True
1758679038.0052228,0,0.7866147507540705,-0.14573000341766135,0.07286500170883067,0.39330737537703525,True
1758679038.175242,0,0.7953229401110214,-0.08637951686112115,0.043189758430560575,0.3976614700555107,True
1758679038.468426,0,0.7998869091067319,0.013451120387497531,-0.0067255601937487655,0.39994345455336594,True
1758679038.633431,0,0.796630393002443,0.0733485987921606,-0.0366742993960803,0.3983151965012215,True
1758679038.918056,0,0.7767240147825824,0.1915719312948191,-0.09578596564740954,0.3883620073912912,True
1758679039.0977201,0,0.7601860735668171,0.24923309081072254,-0.12461654540536127,0.38009303678340856,True
1758679039.39469,0,0.7231817797056154,0.34206448734386175,-0.17103224367193087,0.3615908898528077,True
1758679039.5643132,0,0.6955179922798487,0.39529068091090697,-0.19764534045545348,0.34775899613992434,True
1758679039.85976,0,0.640808569203859,0.47892001172941506,-0.23946000586470753,0.3204042846019295,True
1758679040.026552,0,0.603121803474627,0.5255892789750506,-0.2627946394875253,0.3015609017373135,True
1758679040.318837,0,0.5328883432363212,0.5966825065668079,-0.29834125328340394,0.2664441716181606,True
1758679040.3820622,0,0.5178063154501583,0.6098168738891465,-0.30490843694457326,0.25890315772507916,True
1758679040.450262,0,0.5024006755721623,0.6225701255157005,-0.31128506275785023,0.25120033778608114,True
1758679040.518552,0,0.4866810516257816,0.6349342910793394,-0.3174671455396697,0.2433405258128908,True
1758679040.583254,0,0.47065726786428697,0.6469016433790572,-0.3234508216895286,0.23532863393214348,True
1758679040.651839,0,0.4543393386309325,0.6584647032092206,-0.3292323516046103,0.22716966931546625,True
1758679040.718654,0,0.43773746210031766,0.6696162440338295,-0.33480812201691473,0.21886873105015883,True
1758679040.8929532,0,0.38633275332472417,0.7005333708743202,-0.3502666854371601,0.19316637666236208,True
1758679040.952241,0,0.36870052060393355,0.709971778387274,-0.354985889193637,0.18435026030196677,True
1758679041.0167072,0,0.3508378620594855,0.7189664766493147,-0.35948323832465734,0.17541893102974274,True
1758679041.085378,0,0.33275594127151564,0.7275118442668186,-0.3637559221334093,0.16637797063575782,True
1758679041.1518211,0,0.3144660588519246,0.7356025406631885,-0.36780127033159427,0.1572330294259623,True
1758679041.220136,0,0.2959796453818631,0.7432335094165404,-0.3716167547082702,0.14798982269093156,True
1758679041.2894561,0,0.2773082542679914,0.750399981419802,-0.375199990709901,0.1386541271339957,True
1758679041.36863,0,0.23945732346773518,0.7633218130236215,-0.3816609065118107,0.11972866173386759,True
1758679041.4745028,0,0.201007874065773,0.7743357376251974,-0.3871678688125987,0.1005039370328865,True
1758679041.7814689,0,0.10289944210371016,0.7933547156315045,-0.39667735781575225,0.05144972105185508,True
1758679042.400148,0,-0.1361487577668318,0.7883295730584694,-0.3941647865292347,-0.0680743788834159,True
1758679042.467644,0,-0.15581239994496535,0.7846798684963124,-0.3923399342481562,-0.07790619997248267,True
1758679042.5377312,0,-0.17537866444504582,0.7805397645587777,-0.39026988227938886,-0.08768933222252291,True
1758679042.608819,0,-0.19483532298867012,0.7759118486760598,-0.3879559243380299,-0.09741766149433506,True
1758679042.679722,0,-0.23337125919317792,0.7652044533211961,-0.38260222666059807,-0.11668562959658896,True
